RPC Name,Issue Type,Severity,Details,DB Signature,Frontend Signature
"fix_cost_basis_anomalies","MISSING_IN_DB","CRITICAL","RPC exists in frontend contract but not in database","","required: p_admin_id | optional: p_dry_run, p_reason"
"fix_doubled_cost_basis","MISSING_IN_DB","CRITICAL","RPC exists in frontend contract but not in database","","required:  | optional:"
"fix_position_metadata","MISSING_IN_FRONTEND","MEDIUM","RPC exists in frontend contract but not in database","","required:  | optional:"
"alert_on_aum_position_mismatch","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"alert_on_ledger_position_drift","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"alert_on_yield_conservation_violation","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"apply_daily_yield_to_fund_v2","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","p_fund_id uuid, p_date date, p_gross_yield numeric, p_purpose text DEFAULT 'reporting'::text, p_notes text DEFAULT NULL::text -> jsonb",""
"assign_admin_role_from_invite","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"audit_delta_trigger","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"audit_fee_schedule_changes","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"audit_ib_allocation_payout","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"audit_investor_fund_performance_changes","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"audit_transaction_changes","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"audit_user_role_changes","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"auto_close_previous_fee_schedule","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"auto_heal_aum_drift","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"block_test_profiles","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"calculate_unrealized_pnl","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"cascade_void_from_transaction","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"cascade_void_to_allocations","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"cascade_void_to_yield_events","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"check_concentration_risk","MISSING_IN_FRONTEND","MEDIUM","RPC exists in DB but not in frontend contract","-> trigger",""
"check_duplicate_profile","REQUIRED_PARAM_COUNT_MISMATCH","CRITICAL","RPC exists in DB but not in frontend contract","-> trigger",""
