                   proname                   |  status   
---------------------------------------------+-----------
 _resolve_investor_fee_pct                   | COMPLIANT
 acquire_delivery_batch                      | COMPLIANT
 acquire_position_lock                       | COMPLIANT
 acquire_withdrawal_lock                     | COMPLIANT
 acquire_yield_lock                          | COMPLIANT
 add_fund_to_investor                        | COMPLIANT
 adjust_investor_position                    | COMPLIANT
 admin_create_transaction                    | COMPLIANT
 admin_create_transactions_batch             | COMPLIANT
 apply_daily_yield_to_fund_v3                | COMPLIANT
 apply_deposit_with_crystallization          | COMPLIANT
 apply_withdrawal_with_crystallization       | COMPLIANT
 apply_yield_correction_v2                   | COMPLIANT
 approve_mfa_reset                           | COMPLIANT
 approve_withdrawal                          | COMPLIANT
 assign_admin_role_from_invite               | COMPLIANT
 audit_delta_trigger                         | COMPLIANT
 audit_fee_schedule_changes                  | COMPLIANT
 audit_ib_allocation_payout                  | COMPLIANT
 audit_investor_fund_performance_changes     | COMPLIANT
 audit_transaction_changes                   | COMPLIANT
 audit_user_role_changes                     | COMPLIANT
 auto_close_previous_fee_schedule            | COMPLIANT
 backfill_yield_summaries                    | COMPLIANT
 calculate_unrealized_pnl                    | COMPLIANT
 can_access_investor                         | COMPLIANT
 can_access_notification                     | COMPLIANT
 can_execute_mfa_reset                       | COMPLIANT
 can_withdraw                                | COMPLIANT
 cancel_delivery                             | COMPLIANT
 cancel_withdrawal_by_admin                  | COMPLIANT
 cascade_void_from_transaction               | COMPLIANT
 cascade_void_to_allocations                 | COMPLIANT
 cascade_void_to_yield_events                | COMPLIANT
 check_and_fix_aum_integrity                 | COMPLIANT
 check_aum_exists_for_date                   | COMPLIANT
 check_aum_reconciliation                    | COMPLIANT
 check_duplicate_ib_allocations              | COMPLIANT
 check_duplicate_transaction_refs            | COMPLIANT
 check_fund_is_active                        | COMPLIANT
 check_is_admin                              | COMPLIANT
 check_rate_limit                            | COMPLIANT
 check_rate_limit_with_config                | COMPLIANT
 check_system_integrity                      | COMPLIANT
 cleanup_dormant_positions                   | COMPLIANT
 cleanup_withdrawal_audit_on_cancel          | COMPLIANT
 close_previous_fee_schedule                 | COMPLIANT
 complete_withdrawal                         | COMPLIANT
 create_admin_invite                         | COMPLIANT
 create_profile_on_signup                    | COMPLIANT
 create_withdrawal_request                   | COMPLIANT
 crystallize_month_end                       | COMPLIANT
 crystallize_yield_before_flow               | COMPLIANT
 current_user_is_admin_or_owner              | COMPLIANT
 decrypt_totp_secret                         | COMPLIANT
 delete_transaction                          | COMPLIANT
 delete_withdrawal                           | COMPLIANT
 dispatch_report_delivery_run                | COMPLIANT
 edit_transaction                            | COMPLIANT
 encrypt_totp_secret                         | COMPLIANT
 enforce_fees_account_zero_fee               | COMPLIANT
 enforce_transactions_v2_immutability        | COMPLIANT
 ensure_admin                                | COMPLIANT
 finalize_month_yield                        | COMPLIANT
 finalize_statement_period                   | COMPLIANT
 force_delete_investor                       | COMPLIANT
 generate_document_path                      | COMPLIANT
 generate_fund_period_snapshot               | COMPLIANT
 generate_statement_path                     | COMPLIANT
 get_admin_name                              | COMPLIANT
 get_all_investors_with_details              | COMPLIANT
 get_all_non_admin_profiles                  | COMPLIANT
 get_available_balance                       | COMPLIANT
 get_delivery_stats                          | COMPLIANT
 get_fund_composition                        | COMPLIANT
 get_fund_nav_history                        | COMPLIANT
 get_fund_net_flows                          | COMPLIANT
